
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
1985,40,CHW,AL,16,11,.593,3.17,35,33,0,6,1,0,238.2,223,103,84,22,69,6,134,8,0,10,993,136,3.73,1.223,8.4,0.8,2.6,5.1,1.94,
1986,41,TOT,AL,7,13,.350,4.03,28,28,0,2,0,0,176.1,180,83,79,17,56,2,103,7,0,4,759,106,3.93,1.338,9.2,0.9,2.9,5.3,1.84,
1986,41,CHW,AL,2,6,.250,4.38,12,12,0,1,0,0,72.0,66,37,35,9,27,1,31,5,0,1,309,100,4.87,1.292,8.3,1.1,3.4,3.9,1.15,
1986,41,BOS,AL,5,7,.417,3.80,16,16,0,1,0,0,104.1,114,46,44,8,29,1,72,2,0,3,450,111,3.28,1.371,9.8,0.7,2.5,6.2,2.48,
20 Yrs,20 Yrs,20 Yrs,20 Yrs,311,205,.603,2.86,656,647,6,231,61,1,4783.0,3971,1674,1521,380,1390,116,3640,76,8,126,19369,127,3.04,1.121,7.5,0.7,2.6,6.8,2.62,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,16,11,.603,2.86,34,34,0,12,3,0,250,207,87,79,20,73,6,190,4,0,7,1011,127,3.04,1.121,7.5,0.7,2.6,6.8,2.62,
,,,,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
NYM (12 yrs),NYM (12 yrs),NYM (12 yrs),NYM (12 yrs),198,124,.615,2.57,401,395,5,171,44,1,3045.2,2431,953,870,212,847,70,2541,52,7,81,12191,136,2.67,1.076,7.2,0.6,2.5,7.5,3.00,
CIN (6 yrs),CIN (6 yrs),CIN (6 yrs),CIN (6 yrs),75,46,.620,3.18,158,158,0,42,12,0,1085.2,921,427,384,102,357,35,731,7,1,26,4448,116,3.56,1.177,7.6,0.8,3.0,6.1,2.05,
CHW (3 yrs),CHW (3 yrs),CHW (3 yrs),CHW (3 yrs),33,28,.541,3.67,81,78,1,17,5,0,547.1,505,248,223,58,157,10,296,15,0,16,2280,116,3.97,1.210,8.3,1.0,2.6,4.9,1.89,
BOS (1 yr),BOS (1 yr),BOS (1 yr),BOS (1 yr),5,7,.417,3.80,16,16,0,1,0,0,104.1,114,46,44,8,29,1,72,2,0,3,450,111,3.28,1.371,9.8,0.7,2.5,6.2,2.48,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL (17 yrs),NL (17 yrs),NL (17 yrs),NL (17 yrs),273,170,.616,2.73,559,553,5,213,56,1,4131.1,3352,1380,1254,314,1204,105,3272,59,8,107,16639,130,2.91,1.103,7.3,0.7,2.6,7.1,2.72,
AL (3 yrs),AL (3 yrs),AL (3 yrs),AL (3 yrs),38,35,.521,3.69,97,94,1,18,5,0,651.2,619,294,267,66,186,11,368,17,0,19,2730,115,3.86,1.235,8.5,0.9,2.6,5.1,1.98,
