
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
24 Yrs,24 Yrs,24 Yrs,24 Yrs,354,184,.658,3.12,709,707,0,118,46,0,4916.2,4185,1885,1707,363,1580,63,4672,159,20,143,20240,143,3.09,1.173,7.7,0.7,2.9,8.6,2.96,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,17,9,.658,3.12,34,34,0,6,2,0,236,201,91,82,17,76,3,224,8,1,7,972,143,3.09,1.173,7.7,0.7,2.9,8.6,2.96,
,,,,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
BOS (13 yrs),BOS (13 yrs),BOS (13 yrs),BOS (13 yrs),192,111,.634,3.06,383,382,0,100,38,0,2776.0,2359,1045,943,194,856,43,2590,86,18,72,11384,144,2.94,1.158,7.6,0.6,2.8,8.4,3.03,
NYY (6 yrs),NYY (6 yrs),NYY (6 yrs),NYY (6 yrs),83,42,.664,4.01,175,174,0,3,2,0,1103.0,1044,536,491,116,398,8,1014,41,1,50,4684,114,3.80,1.307,8.5,0.9,3.2,8.3,2.55,
HOU (3 yrs),HOU (3 yrs),HOU (3 yrs),HOU (3 yrs),38,18,.679,2.40,84,84,0,1,0,0,539.0,409,161,144,33,170,11,505,13,1,11,2167,180,3.00,1.074,6.8,0.6,2.8,8.4,2.97,
TOR (2 yrs),TOR (2 yrs),TOR (2 yrs),TOR (2 yrs),41,13,.759,2.33,67,67,0,14,6,0,498.2,373,143,129,20,156,1,563,19,0,10,2005,196,2.44,1.061,6.7,0.4,2.8,10.2,3.61,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL (21 yrs),AL (21 yrs),AL (21 yrs),AL (21 yrs),316,166,.656,3.21,625,623,0,117,46,0,4377.2,3776,1724,1563,330,1410,52,4167,146,19,132,18073,139,3.10,1.185,7.8,0.7,2.9,8.6,2.96,
NL (3 yrs),NL (3 yrs),NL (3 yrs),NL (3 yrs),38,18,.679,2.40,84,84,0,1,0,0,539.0,409,161,144,33,170,11,505,13,1,11,2167,180,3.00,1.074,6.8,0.6,2.8,8.4,2.97,
